num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_fall,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc
566,17,Agosto,Lunes,8,Chimaltenango,Rural,Hombre,62,50-54,Mayor,Microbus,Gris,1997,Colisión
643,17,Agosto,Lunes,8,Chimaltenango,Rural,Hombre,62,50-54,Mayor,Microbus,Gris,1997,Colisión
53,25,Enero,Domingo,8,Escuintla,Rural,Hombre,23,30-34,Mayor,Automovil,Blanco,1999,Volco
514,30,Julio,Jueves,8,Escuintla,Urbano,Hombre,16,25-29,Menor,Motocicleta,Rojo,2001,Colisión
98,13,Febrero,Viernes,8,Quetzaltenango,Rural,Hombre,51,45-49,Mayor,Motocicleta,Rojo,2008,Empotro
160,3,Marzo,Martes,8,Escuintla,Rural,Hombre,28,35-39,Mayor,Motocicleta,Blanco,2008,Colisión
745,18,Octubre,Domingo,8,San Marcos,Rural,Hombre,33,35-39,Mayor,Automovil,Ignorado,2008,Empotro
140,27,Febrero,Viernes,8,Quetzaltenango,Rural,Mujer,25,35-39,Mayor,Pick up,Rojo,IGNORADO,Volco
141,27,Febrero,Viernes,8,Quetzaltenango,Rural,Mujer,53,45-49,Mayor,Pick up,Rojo,IGNORADO,Volco
142,27,Febrero,Viernes,8,Quetzaltenango,Rural,Mujer,1,Menos de 15,Menor,Pick up,Rojo,IGNORADO,Volco
143,27,Febrero,Viernes,8,Quetzaltenango,Rural,Mujer,1,Menos de 15,Menor,Pick up,Rojo,IGNORADO,Volco
229,29,Marzo,Domingo,8,Escuintla,Rural,Hombre,20,30-34,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
557,15,Agosto,Sábado,8,Retalhuleu,Rural,Hombre,48,45-49,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
634,15,Agosto,Sábado,8,Retalhuleu,Rural,Hombre,48,45-49,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
748,19,Octubre,Lunes,8,San Marcos,Urbano,Hombre,24,30-34,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
70,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,19,25-29,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
71,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,65,55 y más,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
72,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,20,30-34,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
73,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,65,55 y más,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
74,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,20,30-34,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
75,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,49,45-49,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
